coordY,coordX,tagid,instr,cycle,IPC
0,0,2,instr_sltiu,0,0.00
0,0,2,instr_mul,2,0.01
0,0,2,instr_mulh,0,0.00
0,0,2,instr_mulhsu,0,0.00
0,0,2,instr_mulhu,0,0.00
0,0,2,instr_div,0,0.00
0,0,2,instr_divu,0,0.00
0,0,2,instr_rem,0,0.00
0,0,2,instr_remu,0,0.00
0,0,2,instr_fence,0,0.00
0,0,2,instr_total,19376,100.00
0,0,kernel,instr_fadd,0,0.00
0,0,kernel,instr_fsub,0,0.00
0,0,kernel,instr_fmul,0,0.00
0,0,kernel,instr_fsgnj,0,0.00
0,0,kernel,instr_fsgnjn,0,0.00
0,0,kernel,instr_fsgnjx,0,0.00
0,0,kernel,instr_fmin,0,0.00
0,0,kernel,instr_fmax,0,0.00
0,0,kernel,instr_fcvt_s_w,0,0.00
0,0,kernel,instr_fcvt_s_wu,0,0.00
0,0,kernel,instr_fmv_w_x,0,0.00
0,0,kernel,instr_feq,0,0.00
0,0,kernel,instr_flt,0,0.00
0,0,kernel,instr_fle,0,0.00
0,0,kernel,instr_fcvt_w_s,0,0.00
0,0,kernel,instr_fcvt_wu_s,0,0.00
0,0,kernel,instr_fclass,0,0.00
0,0,kernel,instr_fmv_x_w,0,0.00
0,0,kernel,instr_local_ld,1938,4.98
0,0,kernel,instr_local_st,1786,4.59
0,0,kernel,instr_remote_ld_dram,3840,9.87
0,0,kernel,instr_remote_ld_global,0,0.00
0,0,kernel,instr_remote_ld_group,0,0.00
0,0,kernel,instr_remote_st_dram,3072,7.90
0,0,kernel,instr_remote_st_global,10,0.03
0,0,kernel,instr_remote_st_group,16,0.04
0,0,kernel,instr_local_flw,0,0.00
0,0,kernel,instr_local_fsw,0,0.00
0,0,kernel,instr_remote_flw,0,0.00
0,0,kernel,instr_remote_fsw,0,0.00
0,0,kernel,instr_lr,8,0.02
0,0,kernel,instr_lr_aq,0,0.00
0,0,kernel,instr_amoswap,0,0.00
0,0,kernel,instr_amoor,0,0.00
0,0,kernel,instr_beq,16,0.04
0,0,kernel,instr_bne,2324,5.97
0,0,kernel,instr_blt,2696,6.93
0,0,kernel,instr_bge,912,2.34
0,0,kernel,instr_bltu,0,0.00
0,0,kernel,instr_bgeu,0,0.00
0,0,kernel,instr_jalr,260,0.67
0,0,kernel,instr_jal,908,2.33
0,0,kernel,instr_sll,0,0.00
0,0,kernel,instr_slli,3106,7.99
0,0,kernel,instr_srl,0,0.00
0,0,kernel,instr_srli,0,0.00
0,0,kernel,instr_sra,0,0.00
0,0,kernel,instr_srai,260,0.67
0,0,kernel,instr_add,5136,13.20
0,0,kernel,instr_addi,12170,31.29
0,0,kernel,instr_sub,276,0.71
0,0,kernel,instr_lui,44,0.11
0,0,kernel,instr_auipc,0,0.00
0,0,kernel,instr_xor,0,0.00
0,0,kernel,instr_xori,0,0.00
0,0,kernel,instr_or,82,0.21
0,0,kernel,instr_ori,0,0.00
0,0,kernel,instr_and,30,0.08
0,0,kernel,instr_andi,2,0.01
0,0,kernel,instr_slt,0,0.00
0,0,kernel,instr_slti,0,0.00
0,0,kernel,instr_sltu,0,0.00
0,0,kernel,instr_sltiu,0,0.00
0,0,kernel,instr_mul,4,0.01
0,0,kernel,instr_mulh,0,0.00
0,0,kernel,instr_mulhsu,0,0.00
0,0,kernel,instr_mulhu,0,0.00
0,0,kernel,instr_div,0,0.00
0,0,kernel,instr_divu,0,0.00
0,0,kernel,instr_rem,0,0.00
0,0,kernel,instr_remu,0,0.00
0,0,kernel,instr_fence,0,0.00
0,0,kernel,instr_total,38896,100.00
